Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-02-17 08:53:48,false,"Naples Running","4.02","487","00:31:08","160","172","3.3","157","163","7:45","6:36","20","13","1.33","7.9","10.5","280","7:45","406","0.0","402","513","4,870","-8","No","00:00:08.9","5","00:31:04","00:31:08","1","20"
Running,2026-02-15 09:47:08,false,"Naples Running","5.05","615","00:38:05","168","181","3.7","158","165","7:32","6:35","46","52","1.35","7.8","10.5","277","7:33","416","0.0","414","490","6,008","-11","No","00:00:22.9","6","00:38:03","00:38:05","2","26"
Running,2026-02-14 10:26:18,false,"Naples Running","5.29","659","00:40:08","173","187","4.0","157","165","7:35","6:24","33","26","1.35","7.9","10.6","279","7:36","407","0.0","406","498","6,286","-13","No","00:02:12.9","6","00:40:06","00:40:08","4","24"
Running,2026-02-12 06:54:00,false,"Chicago Running","12.16","1,469","01:34:42","164","186","4.6","158","167","7:47","4:06","203","207","1.31","7.9","10.4","280","7:47","402","0.0","399","650","14,948","-24","No","00:01:14.9","13","01:34:38","01:34:42","576","648"
Running,2026-02-09 06:57:07,false,"Chicago Running","6.21","757","00:47:16","164","178","3.9","158","172","7:37","2:39","141","125","1.33","7.8","10.5","277","7:37","417","0.0","412","1,215","7,458","-13","No","00:01:29.8","7","00:47:02","00:47:16","575","628"
Running,2026-02-07 08:53:06,false,"Wellesley Running","5.58","656","00:48:07","140","171","3.0","155","167","8:37","4:46","148","128","1.21","8.4","10.1","293","8:33","366","0.0","363","623","7,438","-11","No","00:04:57.5","6","00:48:06","00:48:07","122","194"
Running,2026-02-05 09:43:14,false,"Sarajevo Running","5.35","669","00:42:33","159","169","3.5","156","163","7:57","6:44","102","85","1.30","8.0","10.4","283","7:57","394","0.0","390","491","6,632","-13","No","00:02:47.4","6","00:42:18","00:42:33","1,751","1,825"
Running,2026-02-04 09:41:54,false,"Belgrade Running","6.07","769","00:50:20","160","178","3.6","151","164","8:18","3:46","390","364","1.28","8.1","10.2","286","8:08","405","0.0","389","689","7,762","-16","No","00:00:34.0","7","00:50:01","00:52:37","256","423"
Running,2026-02-01 08:56:35,false,"Bath and North East Somerset Running","6.12","780","00:48:52","161","176","4.0","156","165","7:59","7:02","92","79","1.31","8.0","10.5","285","7:56","400","0.0","396","552","7,590","-13","No","00:00:58.0","7","00:48:33","00:48:52","56","104"
Running,2026-01-30 07:51:41,false,"New York Running","6.86","810","00:50:59","163","181","3.8","156","165","7:26","1:39","302","285","1.37","7.7","10.5","272","7:27","441","0.0","425","2,339","7,970","-11","No","00:06:43.7","7","00:49:57","00:50:59","39","141"
